pickup_latitude,pickup_longitude,n
40.709,-73.959,3
40.715,-73.99,13
40.863,-73.902,1
40.799,-73.964,3
37.27,-74.697,1
40.785,-73.975,1
40.796,-73.92,1
40.742,-73.933,1
40.752,-73.932,1
40.928,-74.128,1
40.735,-73.955,1
40.769,-73.882,1
40.764,-73.957,3
40.71,-74.018,1
40.854,-73.937,2
40.777,-73.99,2
40.754,-73.93,1
40.785,-73.972,1
40.765,-73.993,1
40.686,-73.973,2
40.714,-73.991,1
40.716,-74.017,1
40.806,-73.956,3
40.745,-74.001,2
40.69,-73.968,1
40.645,-73.799,2
40.776,-73.979,11
40.704,-73.919,1
40.713,-73.949,1
40.765,-73.99,1
40.728,-73.95,1
40.646,-73.977,1
40.779,-73.95,3
40.759,-73.919,2
40.767,-73.996,2
40.727,-73.982,3
40.866,-73.925,1
40.84,-73.943,1
40.723,-74.015,1
40.829,-73.945,1
40.691,-73.989,1
40.771,-73.879,2
40.694,-73.964,2
40.712,-73.968,1
40.739,-73.998,2
40.757,-73.935,1
40.787,-73.98,2
40.771,-73.878,1
40.752,-74.208,1
40.745,-73.958,1
40.714,-73.994,7
40.686,-73.807,1
40.676,-73.95,1
40.721,-73.957,3
40.75,-74.031,1
40.752,-74.032,1
40.753,-74.007,1
40.711,-73.823,1
40.781,-73.944,1
40.734,-74.009,4
40.824,-73.952,3
40.719,-73.956,1
40.785,-73.982,1
40.732,-73.981,3
40.447,-74.076,1
40.708,-73.948,1
40.739,-73.976,1
40.679,-73.996,2
40.659,-73.807,1
40.811,-73.961,4
40.837,-73.944,1
40.842,-73.942,1
40.684,-73.968,1
40.729,-74.006,6
40.712,-73.994,3
40.725,-74.007,3
40.655,-73.791,3
40.738,-73.976,2
40.767,-73.926,1
40.725,-73.946,1
40.718,-73.964,1
40.74,-73.922,1
40.705,-73.949,1
40.736,-73.978,1
40.877,-73.907,1
40.815,-73.94,1
40.696,-73.992,2
40.776,-73.949,1
40.697,-73.973,1
40.823,-73.865,1
40.802,-73.958,1
40.773,-73.868,1
40.776,-73.911,1
40.714,-73.831,1
40.8,-73.941,1
40.646,-73.8,2
40.703,-73.993,3
40.755,-73.886,1
40.741,-73.973,4
40.69,-73.97,1
40.792,-73.948,1
40.747,-74.0,6
40.752,-73.861,1
40.584,-73.971,1
40.721,-73.955,2
40.676,-74.172,1
40.741,-73.972,2
40.744,-73.955,1
40.742,-73.951,2
40.789,-73.972,1
40.671,-73.961,1
40.71,-73.959,2
40.831,-73.942,1
40.711,-73.942,1
40.723,-73.94,1
40.713,-73.999,2
40.765,-73.931,1
40.815,-73.952,1
40.647,-73.802,1
40.716,-73.959,1
40.715,-73.832,1
40.773,-73.914,1
40.823,-73.942,1
40.643,-73.958,1
40.855,-73.684,1
40.727,-73.981,4
40.725,-73.98,2
40.697,-73.969,1
40.853,-73.927,1
40.743,-73.99,4
40.743,-73.934,2
40.808,-73.955,2
40.743,-73.995,2
40.637,-73.943,1
40.714,-73.961,3
40.716,-73.987,2
40.788,-73.941,2
40.72,-73.96,3
40.664,-73.787,1
40.693,-73.973,1
40.725,-73.974,1
40.743,-73.926,1
40.686,-73.98,1
40.66,-73.979,1
40.709,-74.001,1
40.77,-73.928,1
40.658,-73.957,1
40.692,-73.997,1
40.762,-73.93,1
40.711,-73.959,2
40.775,-73.952,2
40.73,-73.958,2
40.762,-73.935,1
40.722,-73.99,1
40.771,-73.864,1
40.731,-73.975,1
40.75,-74.0,1
40.692,-73.993,1
40.687,-73.966,1
40.76,-73.952,1
40.687,-73.98,2
40.689,-73.98,1
40.821,-73.951,1
40.678,-73.979,1
40.662,-73.996,1
40.734,-73.955,1
40.729,-73.996,2
40.74,-73.973,10
40.735,-73.978,2
40.719,-73.945,1
40.681,-73.978,2
40.708,-73.952,1
40.865,-73.925,1
40.714,-73.955,1
40.637,-73.903,1
40.691,-74.177,2
40.671,-73.985,1
40.804,-73.953,1
40.697,-73.923,1
40.656,-73.807,1
40.749,-73.938,2
40.718,-73.947,1
40.666,-73.989,1
40.816,-73.937,1
40.693,-73.97,2
40.773,-73.926,1
40.833,-73.946,1
40.856,-73.929,1
40.708,-73.964,1
40.758,-73.923,1
40.688,-73.965,1
40.676,-73.972,2
40.673,-73.986,1
40.864,-73.894,1
40.675,-73.975,1
40.822,-73.941,2
40.724,-73.981,2
40.726,-73.895,1
40.809,-73.929,1
40.755,-73.885,1
40.771,-73.927,2
40.72,-73.98,3
40.722,-73.955,1
40.691,-73.999,1
40.744,-73.951,1
40.761,-73.93,3
40.682,-73.947,1
40.711,-74.004,1
40.672,-73.963,2
40.662,-73.891,1
40.677,-73.922,1
40.687,-73.991,3
40.719,-73.962,1
40.75,-73.997,1
40.801,-73.947,1
40.844,-73.939,1
40.72,-74.012,1
40.695,-73.853,1
40.758,-73.782,1
40.723,-73.726,1
40.672,-73.982,1
40.744,-74.001,1
40.655,-74.004,1
40.845,-73.94,1
40.808,-73.95,1
40.854,-73.938,1
40.79,-73.953,1
40.815,-73.961,1
40.719,-73.813,1
40.662,-73.944,1
40.731,-73.998,1
40.711,-73.952,1
40.793,-73.977,1
40.67,-73.985,1
40.753,-74.032,1
40.848,-73.906,1
40.797,-73.934,1
40.848,-73.937,1
40.644,-73.781,1
40.769,-73.949,1
40.714,-73.953,1
40.779,-73.98,1
40.645,-73.794,1
40.685,-73.986,1
40.708,-73.999,1
40.768,-73.995,1
40.709,-73.96,1
40.689,-73.991,1
40.845,-73.939,1
40.827,-73.946,1
40.79,-73.949,1
40.807,-73.949,1
40.686,-73.985,1
40.764,-73.929,1
40.748,-73.942,1
40.718,-73.95,1
40.752,-73.924,1
40.735,-73.976,1
40.736,-73.955,1
40.734,-73.958,1
40.711,-73.963,3
40.706,-73.922,1
40.769,-73.876,1
40.65,-73.805,1
40.798,-73.947,1
40.787,-73.981,1
40.637,-74.031,1
40.774,-73.913,1
40.769,-73.972,1
40.791,-73.951,1
40.763,-73.934,1
40.8,-73.946,1
